andar;final;topologia;tipologia;area;vagas;fonte
9;1;HMP;1 Dorm;52,1;0;Book pág.41 - Planta Padrao Torre1 Final1 1 Dorm HMP
13;1;HMP;1 Dorm;52,1;0;Book pág.41 - Planta Padrao Torre1 Final1 1 Dorm HMP
17;1;HMP;1 Dorm;52,1;0;Book pág.41 - Planta Padrao Torre1 Final1 1 Dorm HMP
21;1;HMP;1 Dorm;52,1;0;Book pág.41 - Planta Padrao Torre1 Final1 1 Dorm HMP
25;1;HMP;1 Dorm;52,1;0;Book pág.41 - Planta Padrao Torre1 Final1 1 Dorm HMP
29;1;HMP;1 Dorm;52,1;0;Book pág.41 - Planta Padrao Torre1 Final1 1 Dorm HMP
33;1;HMP;1 Dorm;52,1;0;Book pág.41 - Planta Padrao Torre1 Final1 1 Dorm HMP
5;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
6;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
7;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
8;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
9;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
10;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
11;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
12;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
13;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
14;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
15;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
16;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
17;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
18;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
19;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
20;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
21;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
22;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
23;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
24;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
25;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
26;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
27;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
28;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
29;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
30;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
31;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
32;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
33;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
34;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
35;4;HMP;Studio;40,8;0;Book pág.30/42 - Planta Padrao Torre1 Final4 Studio HMP, 5 ao 35 pavimento
2;9;HMP;Studio;43,4;0;Book pág.41 - Planta Padrao Torre1 Final9 Studio HMP, 2 pavimento
2;10;HMP;Studio;30,9;0;Book pág.42 - Planta Padrao Torre1 Final10 Studio HMP, 2 pavimento
