andar;final;topologia;tipologia;area;preco_total;vagas
2;1;R2V;2 Dorm;99,20;1813565;1
2;2;R2V;2 Dorm;96,30;1760548;1
2;3;R2V;2 Dorm;86,30;1582161;1
2;5;R2V;2 Dorm;81,95;1515036;1
3;1;R2V;2 Dorm;96,30;1765109;1
3;2;R2V;2 Dorm;96,30;1765109;1
3;3;R2V;2 Dorm;86,30;1586260;1
3;6;R2V;2 Dorm;80,00;1482818;1
3;8;R2V;2 Dorm;84,90;1560526;1
5;1;R2V;2 Dorm;96,30;1751426;1
5;2;R2V;2 Dorm;96,30;1751426;1
5;3;R2V;2 Dorm;79,70;1465805;1
5;5;R2V;2 Dorm;79,70;1465805;1
5;6;R2V;2 Dorm;96,30;1751426;1
5;7;R2V;2 Dorm;96,30;1751426;1
5;8;R2V;2 Dorm;79,70;1465805;1
5;10;R2V;2 Dorm;80,20;1475001;1
6;1;R2V;2 Dorm;96,30;1755987;1
6;2;R2V;2 Dorm;97,70;1886605;1
6;3;R2V;2 Dorm;79,70;1469623;1
6;5;R2V;2 Dorm;79,70;1469623;1
6;6;R2V;2 Dorm;97,70;1886605;1
6;7;R2V;2 Dorm;96,30;1755987;1
6;8;R2V;2 Dorm;79,70;1469623;1
6;10;R2V;2 Dorm;80,20;1478842;1
7;1;R2V;2 Dorm;97,20;1777002;1
7;3;R2V;2 Dorm;79,10;1462347;1
7;5;R2V;2 Dorm;79,10;1462347;1
7;7;R2V;2 Dorm;97,20;1777002;1
7;8;R2V;2 Dorm;84,80;1554661;1
7;10;R2V;2 Dorm;85,40;1565661;1
8;1;R2V;2 Dorm;97,70;1896405;1
8;2;R2V;2 Dorm;96,30;1765109;1
8;3;R2V;2 Dorm;79,70;1477257;1
8;5;R2V;2 Dorm;79,70;1477257;1
8;6;R2V;2 Dorm;96,30;1765109;1
8;7;R2V;2 Dorm;97,70;1896405;1
8;8;R2V;2 Dorm;79,70;1477257;1
8;10;R2V;2 Dorm;80,20;1486525;1
9;2;R2V;2 Dorm;97,00;1782534;1
9;3;R2V;2 Dorm;84,70;1560873;1
9;5;R2V;2 Dorm;84,70;1560873;1
9;6;R2V;2 Dorm;97,00;1782534;1
9;8;R2V;2 Dorm;79,90;1484791;1
9;10;R2V;2 Dorm;80,50;1495941;1
10;1;R2V;2 Dorm;96,30;1774231;1
10;2;R2V;2 Dorm;97,70;1906206;1
10;3;R2V;2 Dorm;79,70;1484891;1
10;5;R2V;2 Dorm;79,70;1484891;1
10;6;R2V;2 Dorm;97,70;1906206;1
10;7;R2V;2 Dorm;96,30;1774231;1
10;8;R2V;2 Dorm;79,70;1484891;1
11;1;R2V;2 Dorm;97,20;1795416;1
11;2;R2V;Studio;52,60;911551;0
11;3;R2V;2 Dorm;79,10;1477501;1
11;5;R2V;2 Dorm;79,10;1477501;1
11;7;R2V;2 Dorm;97,20;1795416;1
11;8;R2V;2 Dorm;84,80;1570771;1
11;10;R2V;2 Dorm;85,40;1581885;1
12;1;R2V;2 Dorm;97,70;1916006;1
12;2;R2V;2 Dorm;96,30;1783353;1
12;3;R2V;2 Dorm;79,70;1492526;1
12;5;R2V;2 Dorm;79,70;1492526;1
12;6;R2V;2 Dorm;96,30;1783353;1
